telnet@STP_A#show ipv6 route 
IPv6 Routing Table - 400 entries:
"Type Codes:  C - Connected, S - Static, R - RIP, O - OSPF, B - BGP, I - ISIS"
Type IPv6 Prefix                Next Hop Router           Interface  Dis/Metric
O1 2001:da8:200:f241::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O  2001:da8:200:f260::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O  2001:da8:200:f261::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/1220
O1 2001:da8:200:fffe::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/1160
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2001:da8:200:ffff::1/128     fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:ffff::3/128     fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
O1 2001:da8:200:ffff::8/128     fe80::201:e8ff:fe1f:3547  e 1/2       110/1250
O1 2001:da8:200:ffff::9/128     fe80::20b:bfff:fe27:4800  e 1/1       110/1160
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2001:da8:ffca:2676::/64      fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O  2402:f000::1/128             fe80::20b:bfff:fe27:4800  e 1/1       110/1050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O  2402:f000::2/128             fe80::201:e8ff:fe1f:3547  e 1/2       110/1040
O  2402:f000::3/128             fe80::201:e8ff:fe1f:3547  e 1/2       110/1031
O  2402:f000::4/128             fe80::201:e8ff:fe1f:3547  e 1/2       110/1020
O  2402:f000::5/128             fe80::201:e8ff:fe1f:3547  e 1/2       110/1011
O  2402:f000::6/128             fe80::201:e8ff:fe1f:3547  e 1/2       110/1001
O  2402:f000::7/128             fe80::20b:bfff:fe27:4800  e 1/1       110/1000
O  2402:f000::9/128             fe80::20b:bfff:fe27:4800  e 1/1       110/1011
O  2402:f000::10/128            fe80::20b:bfff:fe27:4800  e 1/1       110/1020
O  2402:f000::11/128            fe80::20b:bfff:fe27:4800  e 1/1       110/1031
O  2402:f000::12/128            fe80::20b:bfff:fe27:4800  e 1/1       110/1131
O1 2402:f000::21/128            fe80::20b:bfff:fe27:4800  e 1/1       110/1170
                                fe80::201:e8ff:fe1f:3547  e 1/2      
C  2402:f000::32/128            ::                        loopback 1  0/0
O  2402:f000::52/128            fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O  2402:f000:0:200::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1030
                                fe80::20b:bfff:fe27:4800  e 1/1      
O  2402:f000:0:204::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1050
O  2402:f000:0:208::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1040
O  2402:f000:0:20c::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1030
O  2402:f000:0:210::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1020
O  2402:f000:0:214::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1010
O  2402:f000:0:218::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1010
                                fe80::20b:bfff:fe27:4800  e 1/1      
O  2402:f000:0:21c::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1010
O  2402:f000:0:224::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1020
O  2402:f000:0:228::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1030
O  2402:f000:0:230::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1050
O  2402:f000:0:258::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1070
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O  2402:f000:0:274::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1120
O  2402:f000:0:2b4::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O  2402:f000:0:2b8::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O  2402:f000:0:2bc::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O  2402:f000:0:2c0::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O  2402:f000:0:2d8::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1070
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O  2402:f000:0:308::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1140
O  2402:f000:0:328::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1120
O  2402:f000:0:330::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1230
C  2402:f000:0:348::/64         ::                        e 1/1       0/0
C  2402:f000:0:34c::/64         ::                        e 1/2       0/0
O  2402:f000:0:380::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O  2402:f000:0:384::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O  2402:f000:0:388::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O  2402:f000:0:38c::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:0:511::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:0:531::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2030
O1 2402:f000:0:541::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:0:551::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2010
O  2402:f000:0:561::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2000
O1 2402:f000:0:571::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:0:591::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2010
O1 2402:f000:0:5a1::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:0:5c1::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:0:621::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/3000
O1 2402:f000:0:809::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2030
O  2402:f000:0:828::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2000
O1 2402:f000:0:83c::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:0:844::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:0:848::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:0:860::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:0:864::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:0:878::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:0:898::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:0:8b0::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:0:8d0::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
O1 2402:f000:0:920::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:0:94c::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:0:958::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:0:978::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2010
O1 2402:f000:0:998::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2010
O1 2402:f000:0:9b0::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:0:9d0::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:400::/56         fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:881::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
O1 2402:f000:1:8a1::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
O1 2402:f000:1:921::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:1:9a1::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/1220
O1 2402:f000:1:e01::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:e81::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:ec1::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:f21::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:f41::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2030
O1 2402:f000:1:fa1::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:fc1::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2030
O1 2402:f000:1:fe1::/64         fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:1001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:1081::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
