telnet@STP_A#show ipv6 route 
IPv6 Routing Table - 400 entries:
"Type Codes:  C - Connected, S - Static, R - RIP, O - OSPF, B - BGP, I - ISIS"
Type IPv6 Prefix                Next Hop Router           Interface  Dis/Metric
O1 2402:f000:5:7901::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:7a01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:7c01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:7f01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2402:f000:5:8201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8301::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8501::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8701::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8901::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8a01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8b01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8c01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8d01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8e01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:8f01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9101::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9501::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9701::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9901::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9a01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9c01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9d01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9e01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:9f01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:a001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:a101::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:a201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:a301::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:a401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:a501::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:a601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:a801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:a901::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:aa01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:ab01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:ac01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:ad01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:ae01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:af01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:b001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:b101::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:b201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:b301::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:b401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:b501::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:b601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:b701::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:b801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:b901::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:ba01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:bb01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:bc01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:bd01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:be01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:bf01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:c001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:c101::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:c201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:c301::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:c401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:c501::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:c601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:c701::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O1 2402:f000:5:c801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:c901::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:ca01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:cb01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:cc01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:cd01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:ce01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:cf01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:d001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:d101::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:d201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:d301::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:d401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:d501::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:d601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:d701::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:d801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:d901::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:da01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:db01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:dc01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:dd01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:de01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:df01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:e001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:e101::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:e201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:e301::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:e401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:e501::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:e601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:e701::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:e801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:e901::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:ea01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:eb01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:ec01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:ed01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:ee01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:f001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:f101::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:f201::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:f401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:f501::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:f601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:f841::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:f881::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:f8c1::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:fa01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:5:fb01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2402:f000:fe::/64            fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
